Tue, 08 Aug 2017 16:24:50 lagouetl.py[line:104] INFO COPY pageno 98, insert count: 72636 current offset: 98000
Tue, 08 Aug 2017 16:25:19 lagouetl.py[line:104] INFO COPY pageno 99, insert count: 73092 current offset: 99000
Tue, 08 Aug 2017 16:25:48 lagouetl.py[line:104] INFO COPY pageno 100, insert count: 73630 current offset: 100000
Tue, 08 Aug 2017 16:26:17 lagouetl.py[line:104] INFO COPY pageno 101, insert count: 74197 current offset: 101000
Tue, 08 Aug 2017 16:26:46 lagouetl.py[line:104] INFO COPY pageno 102, insert count: 74740 current offset: 102000
Tue, 08 Aug 2017 16:27:15 lagouetl.py[line:104] INFO COPY pageno 103, insert count: 75301 current offset: 103000
Tue, 08 Aug 2017 16:27:43 lagouetl.py[line:104] INFO COPY pageno 104, insert count: 76172 current offset: 104000
Tue, 08 Aug 2017 16:28:12 lagouetl.py[line:104] INFO COPY pageno 105, insert count: 77156 current offset: 105000
Tue, 08 Aug 2017 16:28:40 lagouetl.py[line:104] INFO COPY pageno 106, insert count: 78143 current offset: 106000
Tue, 08 Aug 2017 16:29:08 lagouetl.py[line:104] INFO COPY pageno 107, insert count: 78788 current offset: 107000
Tue, 08 Aug 2017 16:29:36 lagouetl.py[line:104] INFO COPY pageno 108, insert count: 79118 current offset: 108000
Tue, 08 Aug 2017 16:30:03 lagouetl.py[line:104] INFO COPY pageno 109, insert count: 79707 current offset: 109000
Tue, 08 Aug 2017 16:30:34 lagouetl.py[line:104] INFO COPY pageno 110, insert count: 80218 current offset: 110000
Tue, 08 Aug 2017 16:31:04 lagouetl.py[line:104] INFO COPY pageno 111, insert count: 80640 current offset: 111000
Tue, 08 Aug 2017 16:31:35 lagouetl.py[line:104] INFO COPY pageno 112, insert count: 81095 current offset: 112000
Tue, 08 Aug 2017 16:32:06 lagouetl.py[line:104] INFO COPY pageno 113, insert count: 81453 current offset: 113000
Tue, 08 Aug 2017 16:32:39 lagouetl.py[line:104] INFO COPY pageno 114, insert count: 81972 current offset: 114000
Tue, 08 Aug 2017 16:33:12 lagouetl.py[line:104] INFO COPY pageno 115, insert count: 82485 current offset: 115000
Tue, 08 Aug 2017 16:33:42 lagouetl.py[line:104] INFO COPY pageno 116, insert count: 83072 current offset: 116000
Tue, 08 Aug 2017 16:34:11 lagouetl.py[line:104] INFO COPY pageno 117, insert count: 83708 current offset: 117000
Tue, 08 Aug 2017 16:34:40 lagouetl.py[line:104] INFO COPY pageno 118, insert count: 84306 current offset: 118000
Tue, 08 Aug 2017 16:35:08 lagouetl.py[line:104] INFO COPY pageno 119, insert count: 84875 current offset: 119000
Tue, 08 Aug 2017 16:35:35 lagouetl.py[line:104] INFO COPY pageno 120, insert count: 85472 current offset: 120000
Tue, 08 Aug 2017 16:36:03 lagouetl.py[line:104] INFO COPY pageno 121, insert count: 86100 current offset: 121000
Tue, 08 Aug 2017 16:36:31 lagouetl.py[line:104] INFO COPY pageno 122, insert count: 86758 current offset: 122000
Tue, 08 Aug 2017 16:36:59 lagouetl.py[line:104] INFO COPY pageno 123, insert count: 87455 current offset: 123000
Tue, 08 Aug 2017 16:37:27 lagouetl.py[line:104] INFO COPY pageno 124, insert count: 88111 current offset: 124000
Tue, 08 Aug 2017 16:37:55 lagouetl.py[line:104] INFO COPY pageno 125, insert count: 88661 current offset: 125000
Tue, 08 Aug 2017 16:38:23 lagouetl.py[line:104] INFO COPY pageno 126, insert count: 89053 current offset: 126000
Tue, 08 Aug 2017 16:38:51 lagouetl.py[line:104] INFO COPY pageno 127, insert count: 89536 current offset: 127000
Tue, 08 Aug 2017 16:39:19 lagouetl.py[line:104] INFO COPY pageno 128, insert count: 90425 current offset: 128000
Tue, 08 Aug 2017 16:39:46 lagouetl.py[line:104] INFO COPY pageno 129, insert count: 91328 current offset: 129000
Tue, 08 Aug 2017 16:40:14 lagouetl.py[line:104] INFO COPY pageno 130, insert count: 92028 current offset: 130000
Tue, 08 Aug 2017 16:40:42 lagouetl.py[line:104] INFO COPY pageno 131, insert count: 92818 current offset: 131000
Tue, 08 Aug 2017 16:41:11 lagouetl.py[line:104] INFO COPY pageno 132, insert count: 93608 current offset: 132000
Tue, 08 Aug 2017 16:41:39 lagouetl.py[line:104] INFO COPY pageno 133, insert count: 94339 current offset: 133000
Tue, 08 Aug 2017 16:42:08 lagouetl.py[line:104] INFO COPY pageno 134, insert count: 95034 current offset: 134000
Tue, 08 Aug 2017 16:42:37 lagouetl.py[line:104] INFO COPY pageno 135, insert count: 95688 current offset: 135000
Tue, 08 Aug 2017 16:43:06 lagouetl.py[line:104] INFO COPY pageno 136, insert count: 96641 current offset: 136000
Tue, 08 Aug 2017 16:43:34 lagouetl.py[line:104] INFO COPY pageno 137, insert count: 97301 current offset: 137000
Tue, 08 Aug 2017 16:44:03 lagouetl.py[line:104] INFO COPY pageno 138, insert count: 98107 current offset: 138000
Tue, 08 Aug 2017 16:44:33 lagouetl.py[line:104] INFO COPY pageno 139, insert count: 98907 current offset: 139000
Tue, 08 Aug 2017 16:45:02 lagouetl.py[line:104] INFO COPY pageno 140, insert count: 99700 current offset: 140000
Tue, 08 Aug 2017 16:45:30 lagouetl.py[line:104] INFO COPY pageno 141, insert count: 100476 current offset: 141000
Tue, 08 Aug 2017 16:45:59 lagouetl.py[line:104] INFO COPY pageno 142, insert count: 101218 current offset: 142000
Tue, 08 Aug 2017 16:46:27 lagouetl.py[line:104] INFO COPY pageno 143, insert count: 101976 current offset: 143000
Tue, 08 Aug 2017 16:46:57 lagouetl.py[line:104] INFO COPY pageno 144, insert count: 102627 current offset: 144000
Tue, 08 Aug 2017 16:47:26 lagouetl.py[line:104] INFO COPY pageno 145, insert count: 102904 current offset: 145000
Tue, 08 Aug 2017 16:47:55 lagouetl.py[line:104] INFO COPY pageno 146, insert count: 102968 current offset: 146000
Tue, 08 Aug 2017 16:48:24 lagouetl.py[line:104] INFO COPY pageno 147, insert count: 103081 current offset: 147000
